"","lat","lon","datetime"
"1",60.238888,25.107848,"2020-09-21T13:53:34Z"
"2",60.238888,25.107852,"2020-09-21T13:53:34Z"
"3",60.23892,25.107865,"2020-09-21T13:53:41Z"
"4",60.23893,25.107885,"2020-09-21T13:53:46Z"
"5",60.238945,25.107902,"2020-09-21T13:53:54Z"
"6",60.23895,25.1079,"2020-09-21T13:53:55Z"
"7",60.238945,25.107875,"2020-09-21T13:54:03Z"
"8",60.238937,25.10786,"2020-09-21T13:54:07Z"
"9",60.23893,25.107848,"2020-09-21T13:54:21Z"
"10",60.23893,25.107848,"2020-09-21T13:54:22Z"
"11",60.238905,25.10784,"2020-09-21T13:54:32Z"
"12",60.238905,25.10784,"2020-09-21T13:54:33Z"
"13",60.23894,25.107875,"2020-09-21T13:54:45Z"
"14",60.23894,25.107875,"2020-09-21T13:54:46Z"
"15",60.238945,25.107848,"2020-09-21T13:54:56Z"
"16",60.238945,25.107848,"2020-09-21T13:54:57Z"
"17",60.238945,25.10786,"2020-09-21T13:55:19Z"
"18",60.238945,25.10786,"2020-09-21T13:55:20Z"
"19",60.238935,25.10783,"2020-09-21T13:55:57Z"
"20",60.238935,25.10783,"2020-09-21T13:55:58Z"
"21",60.238925,25.107813,"2020-09-21T13:56:21Z"
"22",60.238922,25.107817,"2020-09-21T13:56:21Z"
"23",60.23895,25.107848,"2020-09-21T13:56:33Z"
"24",60.23895,25.107857,"2020-09-21T13:56:33Z"
"25",60.238935,25.10783,"2020-09-21T13:56:50Z"
"26",60.238932,25.10783,"2020-09-21T13:56:51Z"
"27",60.23892,25.107845,"2020-09-21T13:57:06Z"
"28",60.23892,25.107847,"2020-09-21T13:57:08Z"
"29",60.238915,25.107865,"2020-09-21T13:57:17Z"
"30",60.238915,25.107865,"2020-09-21T13:57:18Z"
"31",60.23891,25.10783,"2020-09-21T13:57:40Z"
"32",60.23891,25.10783,"2020-09-21T13:57:41Z"
"33",60.238915,25.107797,"2020-09-21T13:58:22Z"
"34",60.238915,25.107795,"2020-09-21T13:58:23Z"
"35",60.23892,25.107837,"2020-09-21T13:58:35Z"
"36",60.238922,25.107842,"2020-09-21T13:58:36Z"
"37",60.23893,25.107865,"2020-09-21T13:58:47Z"
"38",60.23893,25.107865,"2020-09-21T13:58:48Z"
"39",60.238932,25.107875,"2020-09-21T13:59:02Z"
"40",60.238935,25.107875,"2020-09-21T13:59:03Z"
"41",60.238875,25.107905,"2020-09-21T13:59:16Z"
"42",60.2388,25.1079,"2020-09-21T13:59:22Z"
"43",60.238727,25.10787,"2020-09-21T13:59:26Z"
"44",60.2388,25.107925,"2020-09-21T13:59:31Z"
"45",60.23883,25.107925,"2020-09-21T13:59:38Z"
"46",60.238832,25.107923,"2020-09-21T13:59:39Z"
"47",60.23885,25.107885,"2020-09-21T13:59:47Z"
"48",60.23885,25.107885,"2020-09-21T13:59:49Z"
"49",60.238895,25.10784,"2020-09-21T14:00:05Z"
"50",60.238903,25.10783,"2020-09-21T14:00:11Z"
"51",60.23892,25.10783,"2020-09-21T14:00:25Z"
"52",60.23892,25.10783,"2020-09-21T14:00:25Z"
"53",60.238925,25.107812,"2020-09-21T14:00:43Z"
"54",60.238925,25.107812,"2020-09-21T14:00:44Z"
"55",60.23895,25.107967,"2020-09-21T14:00:56Z"
"56",60.23891,25.108107,"2020-09-21T14:01:00Z"
"57",60.238897,25.10826,"2020-09-21T14:01:04Z"
"58",60.238937,25.108135,"2020-09-21T14:01:10Z"
"59",60.238902,25.10799,"2020-09-21T14:01:16Z"
"60",60.23886,25.107865,"2020-09-21T14:01:23Z"
"61",60.23886,25.107848,"2020-09-21T14:01:28Z"
"62",60.238785,25.107848,"2020-09-21T14:01:39Z"
"63",60.238825,25.107915,"2020-09-21T14:01:45Z"
"64",60.238897,25.10791,"2020-09-21T14:01:52Z"
"65",60.238898,25.107885,"2020-09-21T14:01:59Z"
"66",60.238912,25.10789,"2020-09-21T14:03:09Z"
"67",60.238915,25.107888,"2020-09-21T14:03:10Z"
"68",60.238915,25.107895,"2020-09-21T14:04:23Z"
"69",60.23892,25.107897,"2020-09-21T14:04:24Z"
"70",60.238925,25.10791,"2020-09-21T14:06:04Z"
"71",60.238925,25.10791,"2020-09-21T14:06:05Z"
"72",60.23893,25.10788,"2020-09-21T14:07:35Z"
"73",60.23893,25.107887,"2020-09-21T14:07:36Z"
"74",60.238925,25.10791,"2020-09-21T14:07:47Z"
"75",60.238925,25.107905,"2020-09-21T14:07:48Z"
"76",60.238955,25.108037,"2020-09-21T14:07:57Z"
"77",60.238925,25.108145,"2020-09-21T14:08:04Z"
"78",60.238888,25.108275,"2020-09-21T14:08:08Z"
"79",60.23895,25.108175,"2020-09-21T14:08:14Z"
"80",60.238915,25.108097,"2020-09-21T14:08:20Z"
"81",60.238865,25.108205,"2020-09-21T14:08:24Z"
"82",60.238842,25.108355,"2020-09-21T14:08:29Z"
"83",60.23892,25.108397,"2020-09-21T14:08:36Z"
"84",60.238968,25.108272,"2020-09-21T14:08:42Z"
"85",60.238962,25.108375,"2020-09-21T14:08:50Z"
"86",60.23896,25.108227,"2020-09-21T14:08:56Z"
"87",60.238888,25.10825,"2020-09-21T14:09:03Z"
"88",60.238885,25.108407,"2020-09-21T14:09:08Z"
"89",60.238865,25.10856,"2020-09-21T14:09:10Z"
"90",60.238818,25.10872,"2020-09-21T14:09:14Z"
"91",60.238777,25.10891,"2020-09-21T14:09:16Z"
"92",60.23874,25.109055,"2020-09-21T14:09:18Z"
"93",60.238733,25.109205,"2020-09-21T14:09:20Z"
"94",60.23878,25.10936,"2020-09-21T14:09:22Z"
"95",60.238845,25.109525,"2020-09-21T14:09:24Z"
"96",60.238898,25.1097,"2020-09-21T14:09:26Z"
"97",60.238925,25.109845,"2020-09-21T14:09:28Z"
"98",60.238985,25.110017,"2020-09-21T14:09:32Z"
"99",60.23903,25.11014,"2020-09-21T14:09:33Z"
"100",60.239075,25.110295,"2020-09-21T14:09:35Z"
"101",60.239125,25.110445,"2020-09-21T14:09:38Z"
"102",60.239175,25.110577,"2020-09-21T14:09:39Z"
"103",60.239217,25.110715,"2020-09-21T14:09:41Z"
"104",60.239272,25.110852,"2020-09-21T14:09:44Z"
"105",60.239325,25.11099,"2020-09-21T14:09:45Z"
"106",60.239375,25.11114,"2020-09-21T14:09:47Z"
"107",60.239427,25.111295,"2020-09-21T14:09:49Z"
"108",60.239475,25.111445,"2020-09-21T14:09:51Z"
"109",60.239545,25.111595,"2020-09-21T14:09:54Z"
"110",60.2396,25.111787,"2020-09-21T14:09:57Z"
"111",60.239643,25.111935,"2020-09-21T14:09:59Z"
"112",60.23968,25.112063,"2020-09-21T14:10:02Z"
"113",60.239717,25.112202,"2020-09-21T14:10:03Z"
"114",60.239745,25.112375,"2020-09-21T14:10:06Z"
"115",60.23977,25.11253,"2020-09-21T14:10:09Z"
"116",60.23975,25.112727,"2020-09-21T14:10:13Z"
"117",60.239695,25.1129,"2020-09-21T14:10:15Z"
"118",60.23969,25.113085,"2020-09-21T14:10:18Z"
"119",60.23974,25.1132,"2020-09-21T14:10:20Z"
"120",60.239845,25.113245,"2020-09-21T14:10:23Z"
"121",60.239935,25.11327,"2020-09-21T14:10:26Z"
"122",60.239995,25.113355,"2020-09-21T14:10:29Z"
"123",60.240075,25.11341,"2020-09-21T14:10:33Z"
"124",60.240145,25.113335,"2020-09-21T14:10:38Z"
"125",60.24022,25.11339,"2020-09-21T14:10:44Z"
"126",60.2403,25.113402,"2020-09-21T14:10:45Z"
"127",60.240392,25.113442,"2020-09-21T14:10:47Z"
"128",60.240477,25.11347,"2020-09-21T14:10:50Z"
"129",60.24059,25.113455,"2020-09-21T14:10:51Z"
"130",60.240672,25.11338,"2020-09-21T14:10:53Z"
"131",60.24075,25.113335,"2020-09-21T14:10:56Z"
"132",60.24081,25.113428,"2020-09-21T14:11:01Z"
"133",60.240825,25.113585,"2020-09-21T14:11:05Z"
"134",60.240868,25.11372,"2020-09-21T14:11:08Z"
